interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,graph_degree,pagerank,betweenness,closeness,component
3.750548,False,False,True,64.0,4.0,2.0,6.0,882.0,0.0001890046623782,0.0,0.5523131672597865,0.0
0.065552644,False,False,False,2918.0,25.0,89.0,114.0,1642.0,0.0003332740275674,0.0002389434100656,0.6070404172099088,0.0
0.21697384,False,False,False,310.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
0.19447285,False,False,False,310.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0
0.6819178,False,False,False,110.0,2.0,7.0,9.0,280.0,9.752946139018754e-05,0.0,0.5094649305175621,0.0
0.54695493,False,False,True,150.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.6177373,False,False,True,9312.0,24.0,34.0,58.0,764.0,0.0001978258586589,0.0001385238881918,0.5440523486795981,0.0
0.5527123,False,False,False,1619.0,10.0,19.0,29.0,951.0,0.0002024045400455,3.5316100730969544e-05,0.5568711876569788,0.0
3.750548,False,False,True,130.0,15.0,2.0,17.0,1206.0,0.0002540490405848,8.900826533095496e-05,0.5743893412287194,0.0
3.750548,False,False,False,685.0,14.0,7.0,21.0,1183.0,0.0002393275715638,5.559116509744639e-05,0.5720604496866937,0.0
1.9447286,False,False,True,138.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
0.58341855,False,False,True,210.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
0.23652104,False,False,False,384.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0
0.31254566,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01655871,False,False,False,7838.0,0.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0
